ID_SITE	DATE	Season	Hour	Tide_Coefficient	Tide	PROF_TEXT	PROF_NUM	SiteName	gpsLat*	gpsLong*	SPM	qSPM	CHLA	qCHLA	POC	PON	C/N
15	07/01/2010	winter	09:46:00	65	PM	S	1	Bouee.13	44.6333	-1.23333	2.8	2	0.32	2	213	73.367	2.903212616
15	26/01/2010	winter	13:26:00	45	PM	S	1	Bouee.13	44.6333	-1.23333	4.8	2	1.98	2	300	53.333	5.625035156
15	08/02/2010	winter	12:55:00	34	PM	S	1	Bouee.13	44.6333	-1.23333	3	2	1.95	2	300	63	4.761904762
15	23/02/2010	winter	11:17:00	38	PM	S	1	Bouee.13	44.6333	-1.23333	2.5	2	1.84	2	300	48.26	6.216328222
15	09/03/2010	winter	12:32:00	29	PM	S	1	Bouee.13	44.6333	-1.23333	3.8	2	2.07	2	340	63.143	5.384603202
15	24/03/2010	spring	11:11:00	40	PM	S	1	Bouee.13	44.6333	-1.23333	1.5	2	3.68	2	290	40.738	7.11866071
15	06/04/2010	spring	10:44:00	37	PM	S	1	Bouee.13	44.6333	-1.23333	2.8	2	1.89	2	270	41.657	6.481503709
15	21/04/2010	spring	10:37:00	49	PM	S	1	Bouee.13	44.6333	-1.23333	2.5	2	2.33	2	600	95.455	6.285684354
15	05/05/2010	spring	10:19:00	39	PM	S	1	Bouee.13	44.6333	-1.23333	8.1	2	3.78	2	360	49.371	7.291729963
15	20/05/2010	spring	10:39:00	63	PM	S	1	Bouee.13	44.6333	-1.23333	3.8	2	2.71	2	580	88.851	6.527782467
15	06/07/2010	summer	10:45:00	40	PM	S	1	Bouee.13	44.6333	-1.23333	2.91	2	1.04	2	600	99.31	6.041687645
15	03/08/2010	summer	08:42:00	46	PM	S	1	Bouee.13	44.6333	-1.23333	1.7	2	1.27	2	480	113.455	4.230752281
15	18/08/2010	summer	10:40:00	45	PM	S	1	Bouee.13	44.6333	-1.23333	1.5	2	0.81	2	290	52.727	5.500028448
15	02/09/2010	summer	08:33:00	39	PM	S	1	Bouee.13	44.6333	-1.23333	1.8	2	1.12	2	310	69.75	4.444444444
15	16/09/2010	summer	09:35:00	35	PM	S	1	Bouee.13	44.6333	-1.23333	2.7	2	1.27	2	280	60.87	4.599967143
15	29/09/2010	fall	06:57:00	62	PM	S	1	Bouee.13	44.6333	-1.23333	1.2	2	0.97	2	200	43.529	4.594638057
15	15/10/2010	fall	09:00:00	35	PM	S	1	Bouee.13	44.6333	-1.23333	3.08	2	2.21	2	340	62.56	5.434782609
